# Task,   Job,     Period,   Response, DL Miss?,   Lateness,  Tardiness, Forced?,       ACET,  Preemptions,   Migrations
# task NAME=base_task PID=15080 COST=10000000 PERIOD=40000000 CPU=0
 15080,     2,   40000000,       3723,        0,  -20996277,          0,       0,       3678,            0,            0
 15080,     3,   40000000,      79295,        0,  -20920705,          0,       0,      17775,            0,            0
 15080,     4,   40000000,   71381870,        1,   50381870,   50381870,       0,   71161636,            0,            0
 15080,     5,   40000000,    2564242,        0,  -18435758,          0,       0,     151100,            6,            0
 15080,     6,   40000000,    7539495,        0,  -13460505,          0,       0,    5743567,            8,            0
 15080,     7,   40000000,    6460539,        0,  -14539461,          0,       0,    5252971,            8,            0
 15080,     8,   40000000,    7104725,        0,  -13895275,          0,       0,    5247366,            8,            0
 15080,     9,   40000000,    7397119,        0,  -13602881,          0,       0,    5836487,            8,            0
 15080,    10,   40000000,    9259711,        0,  -11740289,          0,       0,    6339662,            8,            0
 15080,    11,   40000000,    9004421,        0,  -11995579,          0,       0,    6590732,            8,            0
 15080,    12,   40000000,    6379234,        0,  -14620766,          0,       0,    4844688,            8,            0
 15080,    13,   40000000,    7803910,        0,  -13196090,          0,       0,    5727725,            8,            0
 15080,    14,   40000000,   11034829,        0,   -9965171,          0,       0,    9186915,            8,            0
 15080,    15,   40000000,    9649963,        0,  -11350037,          0,       0,    6271384,            8,            0
 15080,    16,   40000000,   18615533,        0,   -2384467,          0,       0,    9438969,            8,            0
 15080,    17,   40000000,   11883483,        0,   -9116517,          0,       0,    6255401,            8,            0
 15080,    18,   40000000,    8696926,        0,  -12303074,          0,       0,    6691597,            8,            0
 15080,    19,   40000000,   12253470,        0,   -8746530,          0,       0,   10016864,            8,            0
 15080,    20,   40000000,    9709666,        0,  -11290334,          0,       0,    6772430,            8,            0
 15080,    21,   40000000,   11193833,        0,   -9806167,          0,       0,    7822735,            8,            0
 15080,    22,   40000000,   10056628,        0,  -10943372,          0,       0,    8032060,            8,            0
 15080,    23,   40000000,   11831035,        0,   -9168965,          0,       0,    8061512,            8,            0
 15080,    24,   40000000,   11449781,        0,   -9550219,          0,       0,    9223251,            8,            0
 15080,    25,   40000000,   11339583,        0,   -9660417,          0,       0,    7112195,            8,            0
 15080,    26,   40000000,   12262863,        0,   -8737137,          0,       0,    7838523,            8,            0
 15080,    27,   40000000,    9277578,        0,  -11722422,          0,       0,    7076919,            8,            0
 15080,    28,   40000000,   12278290,        0,   -8721710,          0,       0,    8920028,            8,            0
 15080,    29,   40000000,    9685914,        0,  -11314086,          0,       0,    7160454,            8,            0
 15080,    30,   40000000,   12050972,        0,   -8949028,          0,       0,    8108459,            8,            0
 15080,    31,   40000000,    9272962,        0,  -11727038,          0,       0,    7001277,            8,            0
 15080,    32,   40000000,    9187358,        0,  -11812642,          0,       0,    7022293,            8,            0
 15080,    33,   40000000,    9956451,        0,  -11043549,          0,       0,    7617588,            8,            0
 15080,    34,   40000000,    9963790,        0,  -11036210,          0,       0,    7517205,            8,            0
 15080,    35,   40000000,   11467721,        0,   -9532279,          0,       0,    7857145,            8,            0
 15080,    36,   40000000,   10026453,        0,  -10973547,          0,       0,    7488272,            8,            0
 15080,    37,   40000000,    7849134,        0,  -13150866,          0,       0,    6794493,            8,            0
 15080,    38,   40000000,    9016194,        0,  -11983806,          0,       0,    6979417,            8,            0
 15080,    39,   40000000,   11706453,        0,   -9293547,          0,       0,    9530572,            8,            0
 15080,    40,   40000000,    9830120,        0,  -11169880,          0,       0,    6783015,            8,            0
 15080,    41,   40000000,   17589607,        0,   -3410393,          0,       0,   10782957,            8,            0
 15080,    42,   40000000,    9239598,        0,  -11760402,          0,       0,    7141580,            8,            0
 15080,    43,   40000000,   12022198,        0,   -8977802,          0,       0,    8827726,            8,            0
 15080,    44,   40000000,   12613162,        0,   -8386838,          0,       0,   10096349,            8,            0
 15080,    45,   40000000,   11051156,        0,   -9948844,          0,       0,    7487079,            8,            0
 15080,    46,   40000000,   12540969,        0,   -8459031,          0,       0,    8147424,            8,            0
 15080,    47,   40000000,    8910844,        0,  -12089156,          0,       0,    6614936,            8,            0
 15080,    48,   40000000,   12100347,        0,   -8899653,          0,       0,    8797091,            8,            0
 15080,    49,   40000000,    9868456,        0,  -11131544,          0,       0,    7474753,            8,            0
 15080,    50,   40000000,   10949950,        0,  -10050050,          0,       0,    7432701,            8,            0
 15080,    51,   40000000,    9557463,        0,  -11442537,          0,       0,    6961490,            8,            0
 15080,    52,   40000000,    9266032,        0,  -11733968,          0,       0,    6729368,            8,            0
 15080,    53,   40000000,    9138107,        0,  -11861893,          0,       0,    6794492,            8,            0
 15080,    54,   40000000,    9568406,        0,  -11431594,          0,       0,    7240076,            8,            0
 15080,    55,   40000000,   11002393,        0,   -9997607,          0,       0,    7491788,            8,            0
